"Return","Devolução"
"Returns","Devoluções"
"Create Returns","Criar devolução"
"Select Items","Selecionar Itens"
"New Return Request","New Return Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Create New RMA"
"Please Select Order","Please Select Order"
"Order","Pedido"
"Purchase Point","Ponto de compra"
"Purchased","Comprado"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Grand Total (Base)","Total geral (Base)"
"Grand Total (Purchased)","Total geral (comprado)"
"Status","Status"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Close","Fechar"
"Are you sure you want to close this returns request?","Você tem certeza que deseja fechar este pedido de devolução?"
"Print","Imprimir"
"Return #%1 - %2","Devolução #%1 - %2"
"RMA Item Details","Detalhes do Item RMA"
"OK","OK"
"Cancel","Cancelar"
"Delete Image","Excluir imagem"
"View Full Size","Ver Tamanho Completo"
"General Information","Informações gerais"
"Submit Comment","Enviar comentário"
"Add","Adicionar"
"Custom Value","Valor personalizado"
"Print Shipping Label","Imprimir etiqueta de envio"
"Show Packages","Exibir pacotes"
"Items","Itens"
"Return Items","Itens devolvidos"
"Product","Produto"
"SKU","SKU"
"Remaining","Restantes"
"Requested","Solicitado"
"Authorized","Autorizado"
"Returned","Devolvido"
"Approved","Aprovado"
"Return Reason","Motivo da devolução"
"Item Condition","Condição do item"
"Resolution","Resolução"
"Details","Detalhes"
"Split","Dividir"
"Action","Ação"
"Return Information","Informações da devolução"
"RMA","RMA"
"Ordered","Ordenado"
"Customer","Cliente"
"View","Visualizar"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?"
"Return Item Attribute","Return Item Attribute"
"Add New Attribute","Adicionar Novo Atributo"
"Save Attribute","Salvar Atributo"
"Delete Attribute","Excluir Atributo"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Input Type","Tipo de input"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isso é usado internamente. Certifique-se de que você não use espaços ou mais de %1 símbolo(s)."
"Lines Count","Contagem de linhas"
"Valid range 2-20","Intervalo válido 2-20"
"Input Validation","Validação de entrada"
"None","Nenhum"
"Minimum Text Length","Comprimento mínimo de texto"
"Maximum Text Length","Comprimento máximo de texto"
"Maximum File Size (bytes)","Tamanho máximo do arquivo (bytes)"
"File Extensions","Extensões de arquivo"
"Comma separated","Separados por vírgula"
"Maximum Image Width (px)","Largura máxima da imagem (px)"
"Maximum Image Height (px)","Altura máxima da imagem (px)"
"Input/Output Filter","Filtro de entrada/saída"
"Storefront Properties","Propriedades da Loja"
"Show on Storefront","Mostrar na frente de loja"
"Sort Order","Ordernação"
"Forms to Use In","Formulários para uso em"
"Properties","Propriedades"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Attribute Information","Informações de atributo"
"Visible to Customer","Visível para o cliente"
"No","Não"
"Yes","Sim"
"Submit Returns","Submit Returns"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Product Name","Nome do produto"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Delete","Excluir"
"Add Details","Adicionar detalhes"
"Select","Selecione"
"Price","Preço"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"Invalid RMA","RMA inválido"
"Please enter a valid message.","Por favor, insira uma mensagem válida."
"We cannot add the RMA history.","Não foi possível adicionar o histórico RMA."
"Invalid order","Pedido inválido"
"We can't retrieve the product list right now.","We can't retrieve the product list right now."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Por favor, digite um número de rastreamento."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We can't add a message right now.","We can't add a message right now."
"New Return","Nova devolução"
"%1 RMA(s) cannot be closed","%1 RMA(s) não pode ser fechado"
"We cannot close the RMA request(s).","Não foi possível fechar a RMA(s) solicitada(s) ."
"%1 RMA (s) have been closed.","%1 RMA (s) foram fechadas."
"You created a shipping label.","Você criou uma etiqueta de envio."
"We can't create a shipping label right now.","Não foi possível criar a etiqueta de envio."
"Manage RMA Item Attributes","Gerenciar atributos do item RMA"
"You cannot delete this attribute.","Você não pode deletar este atributo."
"You deleted the RMA attribute.","Você excluiu o atributo RMA."
"We can't delete the RMA item attribute right now.","Não foi possível excluir o atributo do item RMA."
"This attribute no longer exists.","Este atributo não existe mais."
"You cannot edit this attribute.","Você não pode editar esse atributo."
"Edit Return Item Attribute","Editar atributo do item da devolução"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong while saving the RMA item attribute.","Something went wrong while saving the RMA item attribute."
"An attribute with the same code already exists.","An attribute with the same code already exists."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"A quantity you're trying to add exceeds the number of products we shipped.","A quantity you're trying to add exceeds the number of products we shipped."
"Products should be added to package(s)","Products should be added to package(s)"
"Please enter a valid value.","Por favor, insira um valor válido."
"This is the wrong RMA ID.","O RMA ID esta incorreto."
"We cannot display the available shipping methods.","Não foi possível exibir os métodos de envio disponíveis."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We can't delete the tracking number right now.","We can't delete the tracking number right now."
"We can't save this RMA.","We can't save this RMA."
"You saved the RMA request.","You saved the RMA request."
"You did not email your customer. Please check your email settings.","Você não enviou o e-mail para seu cliente. Por favor, verifique suas configurações de e-mail."
"You submitted the RMA request.","You submitted the RMA request."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"Page not found.","Página não encontrada."
"Shipping Labels are not allowed.","Shipping Labels are not allowed."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We can't add a label right now.","We can't add a label right now."
"You selected the wrong RMA.","You selected the wrong RMA."
"We can't create a return transaction for order #%1.","We can't create a return transaction for order #%1."
"You submitted Return #%1.","You submitted Return #%1."
"We can't create a return right now. Please try again later.","We can't create a return right now. Please try again later."
"Create New Return","Create New Return"
"We can't delete the label right now.","We can't delete the label right now."
"Return #%1","Return #%1"
"Cannot add message.","Cannot add message."
"My Returns","My Returns"
"Tracking Information","Tracking Information"
"Page not found","Page not found"
"Please check this order for errors.","Please check this order for errors."
"Contact Email Address","Contact Email Address"
"Text Field","Campo de Texto"
"Text Area","Área de Texto"
"Dropdown","Menu suspenso"
"Image File","Arquivo de imagem"
"Only one RMA is available for printing","Only one RMA is available for printing"
"Return # ","Devolução # "
"Return Date: ","Data da devolução: "
"Order # ","Pedido # "
"Ordered: ","Comprado: "
"Shipping Address:","Endereço de entrega:"
"Return Address:","Endereço de devolução:"
"Condition","Condição"
"Qty","Qtd"
"Use config","Usar o config"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Qtde autorizada"
"Returned Qty","Qtde devolvida"
"Approved Qty","Qtde aprovada"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"A quantity of %1 is greater than you can return.","A quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Unknown service","Unknown service"
"We can't save this RMA. No items were specified.","We can't save this RMA. No items were specified."
"Pending","Pendente"
"Partially Authorized","Partially Authorized"
"Return Received","Return Received"
"Return Partially Received","Devolução recebida parcialmente"
"Partially Approved","Parcialmente aprovada"
"Rejected","Rejeitado"
"Partially Rejected","Parcialmente rejeitado"
"Denied","Negado"
"Closed","Fechado"
"Processed and Closed","Processada e fechada"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We received your Return request.","Nós recebemos o seu pedido de devolução."
"We authorized your Return request.","Nós autorizamos seu pedido de devolução."
"We partially authorized your Return request.","We partially authorized your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"ID cannot be an empty","ID cannot be an empty"
"Requested entity doesn't exist","A entidade solicitada não existe"
"Please enter a valid comment.","Please enter a valid comment."
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"Shipment does not exists.","Shipment does not exists."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"Message","Mensagem"
"No detail for number ""' . . '""","No detail for number ""' . . '"""
"All Items","Todos os itens"
"Individual Items","Itens individuais"
"Account &amp; Shipping Information","Conta &amp; informações de envio"
"Address Information","Informações de Endereço"
"RMA Totals","RMA Totals"
"Request Details","Detalhes da solicitação"
"ID","ID"
"#","#"
"Order ID","ID do Pedido"
"Customer Name","Nome do cliente"
"Email Address","Endereço de e-mail"
"RMA History","Histórico RMA"
"Comment Text","Texto do comentário"
"Notify Customer by Email","Notificar o cliente por e-mail"
"Visible on Storefront","Visible on Storefront"
"Customer Service","Atendimento ao cliente"
"Notified","Notificado"
"Not Notified","Não notificado"
"Return Address","Endereço de devolução"
"Order Shipping Address","Order Shipping Address"
"Delete Line","Excluir linha"
"Select All","Selecionar Todos"
"Weight","Peso"
"Customs Value","Valor personalizado"
"Qty Ordered","Qtde comprada"
"Shipping Information","Dados de Entrega"
"Change shipping method.","Change shipping method."
"No authorized items or allowed shipping methods","No authorized items or allowed shipping methods"
"Carrier","Carrier"
"Title","Título"
"Number","Número"
"Are you sure?","Você tem certeza?"
"Shipping Method","Método de Entrega"
"Create Shipping Label","Criar etiquetas de envio"
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Order &amp; Account Information","Order &amp; Account Information"
"Return Totals","Return Totals"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA Items Requested for"
"Please Select Products to Add","Please Select Products to Add"
"Remove","Remover"
"Item","Item"
"Return items","Return items"
"Sub-items","Sub-items"
"Quantity To Return","Quantity To Return"
"Remaining Quantity:","Remaining Quantity:"
"New Return for Order %1","New Return for Order %1"
"Email","E-mail"
"Return Items Information","Return Items Information"
"Add Item To Return","Add Item To Return"
"Comments","Comments"
"Save","Salvar"
"Submit","Enviar"
"Back","Voltar"
"Return #","Devolução #"
"Date","Data"
"Ship From","Ship From"
"Return Status","Return Status"
"Actions","Ações"
"View Return","Ver devolução"
"You have placed no returns.","You have placed no returns."
"Packages","Packages"
"Close Window","Fechar Janela"
"Package","Pacote"
"Type","Tipo"
"Length","Length"
"Total Weight","Peso total"
"Width","Largura"
"Height","Altura"
"Items in the Package","Items in the Package"
"Are you sure you want to delete this tracking information?","Are you sure you want to delete this tracking information?"
"Request Information","Request Information"
"Date Requested","Date Requested"
"Shipping Address","Endereço de entrega"
"This won't take long . . .","Não vai demorar."
"Shipping and Tracking Information","Shipping and Tracking Information"
"Track this shipment","Track this shipment"
"Items Return Requested For","Items Return Requested For"
"Request Qty","Request Qty"
"Hide Details","Hide Details"
"Show Details","Mostrar detalhes"
"Questions and Answers","Perguntas e respostas"
"Questions","Questões"
"Answers","Respostas"
"Leave Comment","Deixar comentário"
"New Comment for RMA #%increment_id","New Comment for RMA #%increment_id"
"Customer %name has left a new comment:","Customer %name has left a new comment:"
"%name,","%name,"
"Your return request has been updated. Please see below.","Your return request has been updated. Please see below."
"You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>.","You can check the status of your return by <a href=""%account_url"">logging into your account</a> or <a href=""%form_url"">using your order number</a>."
"If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone","If you have any questions, please feel free to contact us at <a href=""mailto:%support_email"">%support_email</a> or by phone at %store_phone"
"Your Return #%increment_id - %status_label","Your Return #%increment_id - %status_label"
"You can check the status of your return <a href=""%form_url"">using your order number</a>.","You can check the status of your return <a href=""%form_url"">using your order number</a>."
"If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>.","If you have any questions about your return, please contact us at <a href=""mailto:%support_email"">%support_email</a>."
"We received your return request. You will be notified when your request is reviewed.","We received your return request. You will be notified when your request is reviewed."
"Placed on %created_at","Placed on %created_at"
"Click Details for more required fields.","Click Details for more required fields."
"RMA Settings","Configurações de RMA"
"Enable RMA on Storefront","Enable RMA on Storefront"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Nome do contato"
"Street Address","Endereço"
"City","Cidade"
"State/Province","Estado/Província"
"ZIP/Postal Code","CEP/Código Postal"
"Country","País"
"Enabled","Habilitado"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
"Comma-separated","Comma-separated"
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","Enabled for RMA"
