"Credit Memos","Memorandos de Crédito"
"Orders","Pedidos"
"Invoices","Faturas"
"We can't get the order instance right now.","Não foi possível obter a instância do pedido."
"Create New Order","Criar novo pedido"
"Save Order Address","Salvar endereço do pedido"
"Shipping","Frete"
"Billing","Cobrança"
"Edit Order %1 %2 Address","Editar pedido %1 %2 endereço"
"Order Address Information","Informações de endereço do pedido"
"Please correct the parent block for this block.","Por favor, corrija o bloco pai para este bloco."
"Submit Comment","Enviar comentário"
"Submit Order","Enviar pedido"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar este pedido?"
"Cancel","Cancelar"
"Billing Address","Endereço de Cobrança"
"Payment Method","Forma de pagamento"
"Order Comment","Comentário do pedido"
"Coupons","Cupons"
"Please select a customer","Por favor selecione um cliente"
"Create New Customer","Criar novo cliente"
"Account Information","Informações da Conta"
"From","De"
"To","Até"
"Message","Mensagem"
"Edit Order #%1","Editar pedido #%1"
"Create New Order for %1 in %2","Criar novo pedido para %1 em %2"
"Create New Order for New Customer in %1","Criar novo pedido, para um novo cliente em %1"
"Create New Order for %1","Criar novo pedido para %1"
"Create New Order for New Customer","Criar novo pedido, para um novo cliente"
"Items Ordered","Itens comprados"
"This product is disabled.","Este produto está desabilitado."
"Buy %1 for price %2","Compre %1 pelo preço de %2"
"Item ordered qty","Qtde comprada do item"
"%1 with %2 discount each","%1 com %2 de desconto cada"
"%1 for %2","%1 por %2"
"* - Enter custom price including tax","* - Inserir preço personalizado, incluindo impostos"
"* - Enter custom price excluding tax","* - Inserir preço personalizado, excluindo impostos"
"Configure","Configurar"
"This product does not have any configurable options","Este produto não possui qualquer opções configuráveis"
"Newsletter Subscription","Assinar Newsletter"
"Please select products","Por favor, selecione os produtos"
"Add Selected Product(s) to Order","Adicionar o(s) produto(s) selecionado(s) ao pedido"
"ID","ID"
"Product","Produto"
"SKU","SKU"
"Price","Preço"
"Select","Selecione"
"Quantity","Quantidade"
"Shipping Address","Endereço de entrega"
"Shipping Method","Método de Entrega"
"Update Changes","Atualizar as alterações"
"Shopping Cart","Carrinho de Compras"
"Are you sure you want to delete all items from shopping cart?","Você tem certeza que deseja excluir todos os itens do carrinho de compras?"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Products in Comparison List","Produtos na lista de comparação"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed Products","Produtos visualizados recentemente"
"Last Ordered Items","Últimos itens comprados"
"Recently Viewed","Visualizados recentemente"
"Wish List","Lista de desejos"
"Please select a store","Por favor, selecione uma loja"
"Order Totals","Total do pedido"
"Shipping Incl. Tax (%1)","Frete incl. imposto (%1)"
"Shipping Excl. Tax (%1)","Frete excl. imposto (%1)"
"New Credit Memo for Invoice #%1","Novo memorando de crédito para fatura #%1"
"New Credit Memo for Order #%1","Novo memorando de crédito para o pedido #%1"
"Refund Shipping (Incl. Tax)","Reembolso de frete (incl. imposto)"
"Refund Shipping (Excl. Tax)","Reembolso de frete (excl. imposto)"
"Refund Shipping","Reembolso de frete"
"Update Qty's","Atualizar qtde"
"Refund","Reembolso"
"Refund Offline","Restituido off-line"
"Paid Amount","Valor pago"
"Refund Amount","Valor reembolsado"
"Shipping Amount","Valor do envio"
"Shipping Refund","Frete reembolsado"
"Order Grand Total","Total geral do pedido"
"Adjustment Refund","Ajuste de reembolso"
"Adjustment Fee","Taxa de ajuste"
"Send Email","Enviar e-mail"
"Are you sure you want to send a credit memo email to customer?","Você tem certeza que deseja enviar um e-mail de memorando de crédito para o cliente?"
"Void","Anular"
"Print","Imprimir"
"The credit memo email was sent.","O e-mail de memorando de crédito foi enviado."
"The credit memo email wasn't sent.","O e-mail de memorando de crédito não foi enviado."
"Credit Memo #%1 | %3 | %2 (%4)","Memorando de Crédito #%1 | %3 | %2 (%4)"
"Total Refund","Total reembolsado"
"New Invoice and Shipment for Order #%1","Nova fatura e envio para o pedido #%1"
"New Invoice for Order #%1","Nova fatura para o pedido #%1"
"Submit Invoice and Shipment","Enviar fatura e postagem"
"Submit Invoice","Enviar fatura"
"Are you sure you want to send an invoice email to customer?","Você tem certeza que deseja enviar um e-mail de fatura para o cliente?"
"Credit Memo","Memorando de Crédito"
"Capture","Captura"
"The invoice email was sent.","O e-mail de fatura foi enviado."
"The invoice email wasn't sent.","O e-mail de fatura não foi enviado."
"Invoice #%1 | %2 | %4 (%3)","Fatura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","O bloco pai é inválido para este bloco"
"Order Statuses","Status do pedido"
"Create New Status","Criar novo status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Informações de atribuição"
"Order Status","Situação do pedido"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Edit Order Status"
"Save Status","Salvar status"
"New Order Status","New Order Status"
"Order Status Information","Order Status Information"
"Status Code","Código de status"
"Status Label","Rótulo do status"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","Total pago"
"Total Refunded","Total reembolsado"
"Total Due","Total devido"
"Edit","Editar"
"Are you sure you want to send an order email to customer?","Tem certeza de que deseja enviar um e-mail de pedido para o cliente?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Você tem certeza que deseja anular o pagamento?"
"Hold","Hold"
"hold","hold"
"Unhold","Unhold"
"unhold","unhold"
"Are you sure you want to accept this payment?","Você tem certeza que deseja aceitar este pagamento?"
"Accept Payment","Aceitar pagamento"
"Are you sure you want to deny this payment?","Você tem certeza que deseja negar este pagamento?"
"Deny Payment","Negar pagamento"
"Get Payment Update","Obter atualização do pagamento"
"Invoice and Ship","Fatura e envio"
"Invoice","Fatura"
"Ship","Enviar"
"Reorder","Refazer pedido"
"Order # %1 %2 | %3","Pedido # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Você tem certeza? Este pedido será cancelado e um novo será criado."
"Save Gift Message","Salvar a mensagem de presente"
" [deleted]"," [apagado]"
"Order Credit Memos","Memorandos de crédito do pedido"
"Credit memo #%1 created","Memorando de Crédito #%1 criado"
"Credit memo #%1 comment added","Memorando de Crédito #%1 comentário adicionado"
"Shipment #%1 created","Postagem #%1 criada"
"Shipment #%1 comment added","Postagem #%1 comentário adicionado"
"Invoice #%1 created","Fatura #%1 criada"
"Invoice #%1 comment added","Fatura #%1 comentário adicionado"
"Tracking number %1 for %2 assigned","Número de rastreamento %1 para %2 atribuído"
"Comments History","Histórico de comentários"
"Order History","Histórico de pedidos"
"Information","Informação"
"Order Information","Informações do pedido"
"Order Invoices","Faturas do pedido"
"Shipments","Postagens"
"Order Shipments","Postagens do pedido"
"Transactions","Transações"
"Order View","Visualizar pedido"
"Any","Qualquer"
"Specified","Especificado"
"Applies to Any of the Specified Order Statuses except canceled orders","Aplica-se a qualquer um dos status de pedidos especificados, exceto pedidos cancelados"
"Cart Price Rule","Regra de preço no carrinho"
"Yes","Sim"
"No","Não"
"Show Actual Values","Mostrar valores atuais"
"New Order RSS","RSS de novos pedidos"
"Subtotal","Subtotal"
"Shipping & Handling","Envio e Manuseio"
"Discount (%1)","Desconto (%1)"
"Discount","Desconto"
"Grand Total","Total geral"
"Back","Voltar"
"Fetch","Busca"
"Transaction # %1 | %2","Transação # %1 | %2"
"N/A","Não Disponível"
"Key","Chave"
"Value","Valor"
"We found an invalid entity model.","Encontramos um modelo de entidade inválido."
"Order # %1","Pedido #%1"
"Back to My Orders","Voltar para Meus Pedidos"
"View Another Order","Ver outro pedido"
"About Your Refund","Sobre seu reembolso"
"My Orders","Meus pedidos"
"Subscribe to Order Status","Assine o status do pedido"
"About Your Invoice","Sobre sua fatura"
"Print Order # %1","Impressão do pedido # %1"
"Grand Total to be Charged","Valor total a cobrar"
"Unassign","Desatribuir"
"We can't add this item to your shopping cart right now.","Nós não podemos adicionar este item ao seu carrinho de compras agora."
"You sent the message.","Você enviou a mensagem."
"Sales","Vendas"
"This order no longer exists.","Este pedido não existe mais."
"Please enter a comment.","Por favor, digite um comentário."
"We cannot add order history.","Não foi possível adicionar o histórico de pedidos."
"You updated the order address.","Você atualizou o endereço do pedido."
"We can't update the order address right now.","Não foi possível atualizar o endereço do pedido."
"You have not canceled the item.","Você não cancelou o item."
"You canceled the order.","Você cancelou o pedido."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","código de cupom ""%1"" não foi aplicado. Não aplicar desconto foi selecionado para o(s) item(ns)"
"""%1"" coupon code is not valid.","O código do cupom ""%1"" não é válido."
"The coupon code has been accepted.","O código do cupom foi aceito."
"Quote item id is not received.","Id do item cotado não foi recebido."
"Quote item is not loaded.","Item cotado não está carregado."
"New Order","Novo pedido"
"You created the order.","Você criou o pedido."
"Order saving error: %1","Erro na gravação do pedido: %1"
"Cannot add new comment.","Não é possível adicionar novos comentários."
"The credit memo has been canceled.","O memorando de crédito foi cancelado."
"Credit memo has not been canceled.","O memorando de crédito não foi cancelado."
"New Memo for #%1","Novo memorando para #%1"
"New Memo","Novo memorando"
"The credit memo's total must be positive.","O total do memorando de crédito deve ser positivo."
"Cannot create online refund for Refund to Store Credit.","Não é possível criar um reembolso on-line para reembolsar crédito na loja."
"You created the credit memo.","Você criou o memorando de crédito."
"We can't save the credit memo right now.","Não foi possível salvar o memorando de crédito."
"We can't update the item's quantity right now.","Não foi possível atualizar a quantidade do item."
"View Memo for #%1","Ver memorando para #%1"
"View Memo","Ver memorando"
"You voided the credit memo.","Você anulou o memorando de crédito."
"We can't void the credit memo.","Não foi possível anular o memorando de crédito."
"The order no longer exists.","O pedido não existe mais."
"We can't create credit memo for the order.","Não foi possível criar o memorando de crédito para o pedido."
"Edit Order","Editar pedido"
"You sent the order email.","Você enviou o e-mail do pedido."
"We can't send the email order right now.","Não foi possível enviar o e-mail do pedido."
"You have not put the order on hold.","You have not put the order on hold."
"You put the order on hold.","You put the order on hold."
"You canceled the invoice.","Você cancelou a fatura."
"Invoice canceling error","Erro ao cancelar a fatura"
"The invoice has been captured.","A fatura foi capturada."
"Invoice capturing error","Erro na captura da fatura"
"The order does not allow an invoice to be created.","O pedido não permite a criação de fatura."
"You can't create an invoice without products.","Não é possível criar uma fatura sem produtos."
"New Invoice","Nova fatura"
"We can't save the invoice right now.","Não foi possível salvar a fatura."
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"You created the invoice and shipment.","Você criou a fatura e a postagem."
"The invoice has been created.","A fatura foi criada."
"We can't send the invoice email right now.","Não foi possível enviar o e-mail da fatura."
"We can't send the shipment right now.","Não foi possível enviar a postagem."
"Cannot update item quantity.","Não foi possível atualizar a quantidade do item."
"The invoice has been voided.","A fatura foi anulada."
"Invoice voiding error","Ocorreu um erro ao anular a fatura"
"%1 order(s) cannot be canceled.","%1 order(s) cannot be canceled."
"You cannot cancel the order(s).","Você não pode cancelar o(s) pedido(s)."
"We canceled %1 order(s).","Nós cancelamos %1 pedido(s)."
"%1 order(s) were not put on hold.","%1 order(s) were not put on hold."
"No order(s) were put on hold.","No order(s) were put on hold."
"You have put %1 order(s) on hold.","You have put %1 order(s) on hold."
"%1 order(s) were not released from on hold status.","%1 order(s) were not released from on hold status."
"No order(s) were released from on hold status.","No order(s) were released from on hold status."
"%1 order(s) have been released from on hold status.","%1 order(s) have been released from on hold status."
"There are no printable documents related to selected orders.","Não ha documentos impressos relacionados aos pedidos selecionados."
"The payment has been accepted.","O pagamento foi aceito."
"The payment has been denied.","O pagamento foi negado."
"Transaction has been approved.","A transação foi aprovada."
"Transaction has been voided/declined.","A transação foi anulada/declinada."
"There is no update for the transaction.","Não há nenhuma atualização para a transação."
"We can't update the payment right now.","Não foi possível atualizar o pagamento."
"You assigned the order status.","Você atribuiu o status do pedido."
"Something went wrong while assigning the order status.","Ocorreu um ao atribuir o status do pedido."
"We can't find this order status.","Não encontramos este status de pedido."
"Create New Order Status","Criar novo status de pedido"
"We found another order status with the same order status code.","Encontramos outro status de pedido com o mesmo código de status."
"You saved the order status.","Você salvou o status do pedido."
"We can't add the order status right now.","Não foi possível adicionar o status do pedido."
"You have unassigned the order status.","Você desatribui o status do pedido."
"Something went wrong while unassigning the order.","Ocorreu um erro ao desatribuir o pedido."
"Can't unhold order.","Can't unhold order."
"You released the order from holding status.","You released the order from holding status."
"The order was not on hold.","The order was not on hold."
"Exception occurred during order load","Ocorreu uma exceção durante o carregamento do pedido"
"Something went wrong while saving the gift message.","Ocorreu um erro ao salvar a mensagem do cartão de presente."
"You saved the gift card message.","Você salvou a mensagem do cartão de presente."
"The payment has been voided.","O pagamento foi anulado."
"We can't void the payment right now.","Não foi possível anular o pagamento."
"Please correct the transaction ID and try again.","Por favor, corrija o ID de transação e tente novamente."
"The transaction details have been updated.","Os detalhes da transação foram atualizados."
"We can't update the transaction details.","Não foi possível atualizar os detalhes da transação."
"Orders and Returns","Pedidos e Devoluções"
"You entered incorrect data. Please try again.","Você inseriu dados incorretos. Por favor, tente novamente."
"Home","Home"
"Go to Home Page","Ir para a página inicial"
"We can't find this wish list.","Esta lista de desejos não foi encontrada."
"We could not add a product to cart by the ID ""%1"".","Não foi possível adicionar o produto no carrinho pelo ID ""%1""."
"There is an error in one of the option rows.","Há um erro em uma das linhas de opções."
"Shipping Address: ","Endereço de entrega: "
"Billing Address: ","Endereço de cobrança: "
"Please specify order items.","Por favor, especifique os itens do pedido."
"Please specify a shipping method.","Por favor, especifique um método de envio."
"Please specify a payment method.","Por favor, especifique um método de pagamento."
"This payment method is not available.","Este método de pagamento não está disponível."
"Validation is failed.","Ocorreu uma falha na validação."
"You did not email your customer. Please check your email settings.","Você não enviou o e-mail para seu cliente. Por favor, verifique suas configurações de e-mail."
"Path ""%1"" is not part of allowed directory ""%2""","Path ""%1"" is not part of allowed directory ""%2"""
"Identifying Fields required","Identificar os campos obrigatórios"
"Id required","Id required"
"A hold action is not available.","A hold action is not available."
"You cannot remove the hold.","You cannot remove the hold."
"We cannot cancel this order.","Você não pode cancelar esse pedido."
"Guest","Visitante"
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
"Please enter the street.","Por favor, informe a rua."
"Please enter the city.","Por favor, informe a cidade."
"Please enter the phone number.","Por favor, informe o telefone."
"Please enter the zip/postal code.","Por favor, informe o Cep."
"Please enter the country.","Por favor, informe o país."
"Please enter the state/province.","Por favor digite o estado/província."
"Requested entity doesn't exist","A entidade solicitada não existe"
"Could not delete order address","Não foi possível excluir o endereço do pedido"
"Could not save order address","Não foi possível salvar o endereço do pedido"
"Pending","Pendente"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"Unknown State","Situação desconhecida"
"We found an invalid quantity to refund item ""%1"".","Encontramos uma quantidade inválida para reembolsar o item ""%1""."
"Maximum shipping amount allowed to refund is: %1","O valor máximo de envio permitido para reembolso é: %1"
"Could not delete credit memo","Não foi possível excluir o memorando de crédito"
"Could not save credit memo","Não foi possível salvar o memorando de crédito"
"This order already has associated customer account","Este pedido já associado a conta de um cliente"
"Paid","Pago"
"We cannot register an existing invoice","Não foi possível registrar uma fatura existente"
"ID required","ID required"
"Unknown Status","Status desconhecido"
"Ordered","Ordenado"
"Shipped","Enviado"
"Invoiced","Faturado"
"Backordered","Backordered"
"Returned","Devolvido"
"Partial","Parcial"
"Mixed","Mixed"
"Registered a Void notification.","Registrada uma notificação de anulação."
"If the invoice was created offline, try creating an offline credit memo.","Se a fatura foi criada off-line, tente criar um memorando de crédito off-line."
"We refunded %1 online.","Nós reembolsamos %1 on-line."
"We refunded %1 offline.","Nós reembolsamos %1 off-line."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Devolução"". Devolução emitida pelo comerciante. Registrada notificação sobre o valor reembolsado de %1. ID da transação: ""%2"". O memorando de credito não foi criado. Por favor, crie o memorando de crédito off-line."
"The credit memo has been created automatically.","O memorando de crédito foi criado automaticamente."
"Registered notification about refunded amount of %1.","Registrada notificação sobre valor da devolução de %1."
"Canceled order online","Pedido cancelado on-line"
"Canceled order offline","Pedido cancelado off-line"
"Approved the payment online.","Pagamento aprovado on-line."
"There is no need to approve this payment.","Não há necessidade de aprovar este pagamento."
"Denied the payment online","O pagamento foi negado on-line"
"Registered update about approved payment.","Registrado atualização sobre pagamento aprovado."
"Registered update about denied payment.","Registrada atualização sobre o pagamento negado."
"There is no update for the payment.","Não há nenhuma atualização para o pagamento."
"Voided authorization.","Autorização anulada."
"Amount: %1.","Quantia: %1."
"Transaction ID: ""%1""","ID da transação: ""%1"""
"The payment method you requested is not available.","O método de pagamento que você solicitou não está disponível."
"The payment disallows storing objects.","O pagamento não permite armazenar objetos."
"The transaction ""%1"" cannot be captured yet.","A transação ""%1"" ainda não pode ser capturada."
"We will authorize %1 after the payment is approved at the payment gateway.","Nós vamos autorizar %1 depois que o pagamento for aprovado no gateway de pagamento."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"Authorized amount of %1","Valor autorizado de %1"
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Capturado o valor de %1 online"
